07591;58;Longitude;Latitude
81401;94;5.4855;-54.031667
78925;81;14.595333;-60.995667
07558;77;44.1185;3.0195
61970;65;-17.054667;42.712
61996;49;-37.795167;77.569167
61970;65;-17.054667;42.712
07149;53;48.716833;2.384333
07630;68;43.621;1.378833
67005;70;-12.8055;45.282833
89642;34;-66.663167;140.001
07020;70;49.725167;-1.939833
07072;95;49.209667;4.155333
07240;89;47.4445;0.727333
07535;99;44.745;1.396667
07607;97;43.909833;-0.500167
67005;82;-12.8055;45.282833
07110;96;48.444167;-4.412
07558;83;44.1185;3.0195
07037;68;49.383;1.181667
07181;78;48.581;5.959833
07535;84;44.745;1.396667
07207;64;47.294333;-3.218333
61980;66;-20.8925;55.528667
07434;93;45.861167;1.175
78925;73;14.595333;-60.995667
07037;87;49.383;1.181667
07181;82;48.581;5.959833
07110;87;48.444167;-4.412
07207;66;47.294333;-3.218333
61972;85;-22.344167;40.340667
61976;87;-15.887667;54.520667
78925;88;14.595333;-60.995667
07761;64;41.918;8.792667
07299;88;47.614333;7.51
07650;75;43.437667;5.216
07005;88;50.136;1.834
07690;85;43.648833;7.209
07190;89;48.5495;7.640333
07630;91;43.621;1.378833
07643;84;43.577;3.963167
07149;94;48.716833;2.384333
07577;95;44.581167;4.733
07747;89;42.737167;2.872833
61996;64;-37.795167;77.569167
81405;90;4.822333;-52.365333
07280;97;47.267833;5.088333
07558;76;44.1185;3.0195
07015;66;50.57;3.0975
07207;67;47.294333;-3.218333
07110;83;48.444167;-4.412
07139;88;48.4455;0.110167
61997;79;-46.4325;51.856667
07027;82;49.18;-0.456167
07255;89;47.059167;2.359833
07460;87;45.786833;3.149333
07790;85;42.540667;9.485167
07761;81;41.918;8.792667
07255;96;47.059167;2.359833
07650;54;43.437667;5.216
61972;57;-22.344167;40.340667
07207;82;47.294333;-3.218333
07314;85;46.046833;-1.4115
07627;93;43.005333;1.106833
61998;58;-49.352333;70.243333
71805;99;46.766333;-56.179167
67005;74;-12.8055;45.282833
07072;93;49.209667;4.155333
61998;68;-49.352333;70.243333
81405;65;4.822333;-52.365333
89642;33;-66.663167;140.001
61998;62;-49.352333;70.243333
07020;87;49.725167;-1.939833
07335;96;46.593833;0.314333
81405;86;4.822333;-52.365333
07037;85;49.383;1.181667
07130;95;48.068833;-1.734
61996;66;-37.795167;77.569167
07222;83;47.15;-1.608833
07761;69;41.918;8.792667
78922;80;14.7745;-60.875333
07027;87;49.18;-0.456167
07299;96;47.614333;7.51
07510;96;44.830667;-0.691333
81405;94;4.822333;-52.365333
07015;96;50.57;3.0975
07335;91;46.593833;0.314333
07015;78;50.57;3.0975
07650;55;43.437667;5.216
61997;87;-46.4325;51.856667
07535;95;44.745;1.396667
07577;57;44.581167;4.733
07591;51;44.565667;6.502333
61980;89;-20.8925;55.528667
07149;82;48.716833;2.384333
